"times","east","north"
2000.7556,0.672213,0.252346
2000.7584,0.672442,0.253509
2000.7611,0.670432,0.254404
2000.7639,0.673904,0.254137
2000.7666,0.675249,0.252964
2000.7693,0.674307,0.253626
2000.7721,0.674756,0.252523
2000.7748,0.677549,0.257895
2000.7775,0.672191,0.251839
2000.7803,0.676248,0.254923
2000.783,0.673446,0.254064
2000.7858,0.667626,0.251508
2000.7885,0.670181,0.250165
2000.7912,0.674172,0.251917
2000.794,0.672654,0.251245
2000.7967,0.673107,0.253747
2000.7995,0.670424,0.253104
2000.8022,0.672762,0.255179
2000.8049,0.670873,0.254494
2000.8077,0.671432,0.253586
2000.8104,0.672598,0.251941
2000.8131,0.672719,0.252655
2000.8186,0.668934,0.253418
2000.8214,0.666993,0.249253
2000.8241,0.67043,0.25418
2000.8268,0.670361,0.252104
2000.8296,0.67373,0.252545
2000.8323,0.672504,0.25468
2000.835,0.673014,0.251631
2000.8378,0.672312,0.252945
2000.8405,0.672715,0.252326
2000.8433,0.671398,0.252126
2000.846,0.669937,0.253744
2000.8487,0.672107,0.253157
2000.8515,0.673802,0.257233
2000.8542,0.672975,0.253456
2000.8569,0.671061,0.254814
2000.8597,0.67121,0.253975
2000.8624,0.673881,0.251498
2000.8652,0.673642,0.253594
2000.8679,0.672498,0.25153
2000.8706,0.671445,0.249701
2000.8734,0.672974,0.24919
2000.8761,0.675074,0.248435
2000.8789,0.673568,0.25587
2000.8816,0.673033,0.251676
2000.8843,0.674029,0.251965
2000.8871,0.674406,0.254063
2000.8898,0.675503,0.253483
2000.8925,0.67468,0.253975
2000.8953,0.673788,0.25306
2000.898,0.670397,0.25606
2000.9008,0.672002,0.251244
2000.9035,0.671433,0.253984
2000.9062,0.67268,0.252508
2000.909,0.672671,0.253227
2000.9117,0.673151,0.253132
2000.9144,0.675177,0.253494
2000.9172,0.674585,0.252026
2000.9281,0.673809,0.253783
2000.9309,0.671479,0.254289
2000.9336,0.670395,0.253217
2000.9363,0.673007,0.252664
2000.9391,0.674246,0.254068
2000.9418,0.674244,0.254106
2000.9446,0.673607,0.252603
2000.9473,0.669539,0.249881
2000.95,0.674083,0.253591
2000.9528,0.675488,0.251537
2000.9555,0.672565,0.251402
2000.9582,0.675464,0.254104
2000.961,0.673951,0.25487
2000.9637,0.671619,0.252984
2000.9665,0.671422,0.253387
2000.9692,0.671383,0.253357
2000.9719,0.673617,0.250996
2000.9747,0.672877,0.251471
2000.9774,0.672047,0.251561
2000.9802,0.672506,0.252034
2000.9829,0.673639,0.247554
2000.9856,0.67254,0.250625
2000.9884,0.67466,0.250983
2000.9911,0.671919,0.255108
2000.9938,0.670403,0.251086
2000.9966,0.671303,0.250228
2000.9993,0.672621,0.250163
2001.0021,0.673051,0.251874
2001.0048,0.671695,0.250612
2001.0075,0.673774,0.249145
2001.0103,0.672869,0.252284
2001.013,0.671614,0.252153
2001.0157,0.671282,0.253145
2001.0185,0.672132,0.251537
2001.0212,0.675141,0.252264
2001.024,0.673527,0.250772
2001.0267,0.674096,0.251206
2001.0294,0.673029,0.250326
2001.0322,0.670858,0.252662
2001.0349,0.673984,0.250568
2001.0376,0.674216,0.250313
2001.0404,0.674549,0.250064
2001.0431,0.670412,0.252033
2001.0459,0.671257,0.248303
2001.0486,0.668482,0.25067
2001.0513,0.673529,0.25122
2001.0541,0.670784,0.251707
2001.0568,0.672896,0.253714
2001.0595,0.67383,0.250229
2001.0623,0.672375,0.250177
2001.065,0.671179,0.248986
2001.0678,0.674152,0.252735
2001.0705,0.671232,0.250265
2001.0732,0.67141,0.248231
2001.076,0.670321,0.248267
2001.0787,0.669479,0.249187
2001.0815,0.672613,0.249979
2001.0842,0.668957,0.250232
2001.0869,0.67116,0.25061
2001.0897,0.670458,0.250876
2001.0924,0.67046,0.251461
2001.0951,0.668966,0.249763
2001.0979,0.671317,0.251981
2001.1006,0.671614,0.251797
2001.1034,0.668768,0.252461
2001.1061,0.668569,0.249365
2001.1088,0.667995,0.250641
2001.1116,0.669385,0.250909
2001.1143,0.669123,0.250976
2001.117,0.669388,0.253122
2001.1198,0.669478,0.250346
2001.1225,0.673591,0.25153
2001.1253,0.671047,0.252036
2001.128,0.668289,0.254169
2001.1307,0.669998,0.250461
2001.1335,0.669838,0.250862
2001.1362,0.670373,0.252266
2001.1389,0.66896,0.252827
2001.1417,0.670212,0.248259
2001.1444,0.670368,0.250782
2001.1472,0.667309,0.252108
2001.1499,0.67005,0.2511
2001.1526,0.669537,0.249171
2001.1554,0.668836,0.251776
2001.1581,0.668424,0.247803
2001.1608,0.667837,0.251391
2001.1636,0.666323,0.248092
2001.1663,0.66956,0.248883
2001.1691,0.667894,0.249224
2001.1718,0.668997,0.24723
2001.1745,0.669075,0.250715
2001.1773,0.66864,0.250606
2001.18,0.666058,0.250228
2001.1828,0.665002,0.249124
2001.1855,0.666015,0.249454
2001.1882,0.664799,0.249652
2001.191,0.667133,0.248908
2001.1937,0.666564,0.248695
2001.1964,0.665403,0.249447
2001.1992,0.665578,0.247512
2001.2019,0.665305,0.247166
2001.2047,0.666807,0.248429
2001.2074,0.666547,0.249143
2001.2101,0.670258,0.251134
2001.2129,0.668674,0.251265
2001.2156,0.667878,0.250471
2001.2183,0.668187,0.248523
2001.2211,0.664127,0.249862
2001.2238,0.664981,0.248813
2001.2266,0.668115,0.249156
2001.2293,0.665933,0.248865
2001.232,0.668624,0.249159
2001.2348,0.664466,0.247317
2001.2375,0.665813,0.247278
2001.2402,0.670485,0.24886
2001.243,0.66866,0.247196
2001.2457,0.665316,0.247034
2001.2485,0.665508,0.246373
2001.2512,0.667144,0.243246
2001.2539,0.666357,0.249807
2001.2567,0.664822,0.24981
2001.2594,0.665627,0.248575
2001.2621,0.665547,0.24723
2001.2649,0.671075,0.251416
2001.2676,0.665533,0.249773
2001.2704,0.668121,0.249963
2001.2731,0.667784,0.249433
2001.2758,0.66484,0.249311
2001.2786,0.664579,0.248594
2001.2813,0.666937,0.246149
2001.2841,0.664453,0.248062
2001.2868,0.666545,0.249542
2001.2895,0.666338,0.252994
2001.2923,0.66426,0.2491
2001.295,0.666369,0.24809
2001.2977,0.664443,0.243498
2001.3005,0.663692,0.244256
2001.3032,0.667769,0.245841
2001.306,0.663427,0.250205
2001.3087,0.66459,0.249061
2001.3114,0.663308,0.246839
2001.3142,0.662352,0.244578
2001.3169,0.666277,0.246717
2001.3196,0.663019,0.245957
2001.3224,0.661345,0.245529
2001.3251,0.660485,0.244408
2001.3279,0.660471,0.245414
2001.3306,0.660913,0.247702
2001.3333,0.660167,0.249198
2001.3361,0.663246,0.249887
2001.3388,0.660743,0.247501
2001.3415,0.660201,0.247135
2001.3443,0.660813,0.247187
2001.347,0.660751,0.249089
2001.3498,0.662552,0.248358
2001.3525,0.659584,0.249183
2001.3552,0.660297,0.248788
2001.358,0.661262,0.246871
2001.3607,0.661643,0.247532
2001.3634,0.662202,0.248157
2001.3662,0.659937,0.247895
2001.3689,0.659623,0.24696
2001.3717,0.659871,0.246876
2001.3744,0.661003,0.246509
2001.3771,0.659048,0.245743
2001.3799,0.655181,0.246214
2001.3826,0.662134,0.249071
2001.3854,0.663404,0.247141
2001.3881,0.660762,0.246144
2001.3908,0.659758,0.248059
2001.3936,0.661229,0.245713
2001.3963,0.661254,0.245776
2001.399,0.658998,0.246562
2001.4018,0.659815,0.243903
2001.4045,0.65902,0.24445
2001.4073,0.659321,0.247431
2001.41,0.660634,0.24551
2001.4127,0.661417,0.243564
2001.4155,0.660916,0.244038
2001.4182,0.665694,0.250101
2001.4209,0.658598,0.244774
2001.4237,0.659672,0.245824
2001.4264,0.660541,0.242672
2001.4292,0.661324,0.243011
2001.4319,0.656841,0.243475
2001.4346,0.661629,0.244488
2001.4374,0.661956,0.244176
2001.4401,0.660337,0.241896
2001.4428,0.658373,0.242874
2001.4456,0.660287,0.242863
2001.4483,0.659228,0.244436
2001.4511,0.661336,0.244841
2001.4538,0.659944,0.244456
2001.4565,0.659976,0.243414
2001.4593,0.661102,0.244541
2001.462,0.661047,0.243978
2001.4648,0.660118,0.246258
2001.4675,0.660143,0.243772
2001.4702,0.66056,0.241926
2001.473,0.660863,0.243154
2001.4757,0.660984,0.242021
2001.4784,0.660575,0.240865
2001.4812,0.659645,0.242651
2001.4839,0.658721,0.244463
2001.4867,0.659134,0.24279
2001.4894,0.658731,0.24571
2001.4921,0.660816,0.245989
2001.4949,0.659886,0.243598
2001.4976,0.658938,0.242336
2001.5003,0.660551,0.246677
2001.5031,0.661022,0.247454
2001.5058,0.661293,0.243573
2001.5086,0.658963,0.244353
2001.5113,0.657883,0.243144
2001.514,0.661901,0.244149
2001.5168,0.659619,0.243742
2001.5195,0.661593,0.243762
2001.5222,0.661146,0.241723
2001.525,0.659761,0.246112
2001.5277,0.65984,0.245596
2001.5305,0.659603,0.245899
2001.5332,0.658694,0.246172
2001.5359,0.661266,0.244315
2001.5387,0.6568,0.24375
2001.5414,0.658244,0.245736
2001.5441,0.658767,0.243821
2001.5469,0.659943,0.243771
2001.5496,0.660698,0.242024
2001.5524,0.659777,0.241798
2001.5551,0.661293,0.242083
2001.5578,0.661575,0.244001
2001.5606,0.659292,0.243691
2001.5633,0.65684,0.245394
2001.5661,0.660848,0.244601
2001.5688,0.659713,0.244235
2001.5715,0.662477,0.242284
2001.5743,0.6604,0.245193
2001.577,0.658713,0.243874
2001.5797,0.660741,0.244522
2001.5825,0.660359,0.24469
2001.5852,0.6614,0.243842
2001.588,0.660956,0.244574
2001.5907,0.657958,0.241928
2001.5934,0.657169,0.24266
2001.5962,0.658139,0.242595
2001.5989,0.659534,0.24292
2001.6016,0.660101,0.241742
2001.6044,0.660253,0.243292
2001.6071,0.656884,0.246223
2001.6099,0.657761,0.246538
2001.6126,0.65971,0.244258
2001.6153,0.658892,0.247169
2001.6181,0.661317,0.243316
2001.6208,0.660974,0.247044
2001.6235,0.657128,0.242557
2001.6263,0.660984,0.242576
2001.629,0.661801,0.242792
2001.6318,0.658376,0.243112
2001.6345,0.656191,0.244037
2001.6372,0.655638,0.241481
2001.64,0.656421,0.24536
2001.6427,0.658984,0.244163
2001.6454,0.658132,0.242481
2001.6482,0.65708,0.245065
2001.6509,0.658766,0.244917
2001.6537,0.658704,0.24505
2001.6564,0.657314,0.241598
2001.6591,0.658352,0.24391
2001.6619,0.659747,0.244656
2001.6646,0.654808,0.242265
2001.6674,0.657056,0.242018
2001.6701,0.658804,0.2429
2001.6728,0.658288,0.24299
2001.6756,0.656901,0.245087
2001.6783,0.660116,0.246471
2001.681,0.658576,0.245062
2001.6838,0.658041,0.244256
2001.6865,0.658163,0.24361
2001.6893,0.660474,0.243565
2001.692,0.659021,0.24483
2001.6947,0.660761,0.246217
2001.6975,0.658805,0.246539
2001.7002,0.657166,0.244714
2001.7029,0.660808,0.24637
2001.7057,0.659604,0.245276
2001.7084,0.659125,0.242776
2001.7112,0.659385,0.244023
2001.7139,0.658015,0.245106
2001.7166,0.659401,0.245109
2001.7194,0.660919,0.245012
2001.7221,0.657568,0.244711
2001.7248,0.658203,0.244947
2001.7276,0.658107,0.246542
